const,nconst,writer
tt0084805,nm0570190,Don McGuire
tt0084805,nm0312205,Larry Gelbart
tt0084805,nm0772003,Murray Schisgal
tt0084805,nm0001469,Barry Levinson
tt0084805,nm0307561,Robert Garland
tt0084805,nm0442099,Robert Kaufman
tt0084805,nm0561938,Elaine May
tt0085253,nm0748021,Bruce Rubin
tt0085333,nm0000175,Stephen King
tt0085333,nm0680250,Bill Phillips
tt0085382,nm0000175,Stephen King
tt0085382,nm0241795,Don Carlos Dunaway
tt0085382,nm0193009,Barbara Turner
tt0085693,nm0035830,Michael Armstrong
tt0085693,nm0081788,Earl Derr Biggers
tt0085693,nm0169125,George M. Cohan
tt0086058,nm0524924,Robert Ludlum
tt0086058,nm2091974,Ian Masters
tt0086058,nm0788991,Alan Sharp
tt0086320,nm0385349,Robert Hiltzik
tt0086465,nm0365390,Timothy Harris
tt0086465,nm0918339,Herschel Weingrod
tt0086606,nm0514906,Chia-Liang Liu
tt0086606,nm0393250,Kuang Ni
tt0086960,nm0677943,Daniel Petrie Jr.
tt0086960,nm0045301,Danilo Bach
tt0087001,nm0923932,Paul Wheeler
tt0087050,nm0000175,Stephen King
tt0087050,nm0326070,George Goldsmith
tt0087262,nm0000175,Stephen King
tt0087262,nm0542970,Stanley Mann
tt0087332,nm0000101,Dan Aykroyd
tt0087332,nm0000601,Harold Ramis
tt0087363,nm0001060,Chris Columbus
tt0087843,nm0340580,Harry Grey
tt0087843,nm0073053,Leonardo Benvenuti
tt0087843,nm0207401,Piero De Bernardi
tt0087843,nm0575804,Enrico Medioli
tt0087843,nm0033490,Franco Arcalli
tt0087843,nm0274853,Franco Ferrini
tt0087843,nm0001466,Sergio Leone
tt0087843,nm0436757,Stuart Kaminsky
tt0087843,nm0002759,Ernesto Gastaldi
tt0088000,nm0582481,Tim Metcalfe
tt0088000,nm0854185,Miguel Tejada-Flores
tt0088000,nm0951599,Steve Zacharias
tt0088000,nm0119542,Jeff Buhai
tt0088117,nm0128858,Paul Caimi
tt0088117,nm0382652,Michael Hickey
tt0088128,nm0000455,John Hughes
tt0088247,nm0000116,James Cameron
tt0088247,nm0005036,Gale Anne Hurd
tt0088247,nm0936537,William Wisher
tt0088763,nm0000709,Robert Zemeckis
tt0088763,nm0301826,Bob Gale
tt0088847,nm0000455,John Hughes
tt0088850,nm0567346,George Barr McCutcheon
tt0088850,nm0918339,Herschel Weingrod
tt0088850,nm0365390,Timothy Harris
tt0088944,nm0517188,Jeph Loeb
tt0088944,nm0918861,Matthew Weisman
tt0088944,nm0211823,Steven E. de Souza
tt0088993,nm0001681,George A. Romero
tt0089003,nm0415979,Don Jakoby
tt0089003,nm0307257,Brian Garfield
tt0089029,nm0514906,Chia-Liang Liu
tt0089218,nm0001060,Chris Columbus
tt0089218,nm0000229,Steven Spielberg
tt0089457,nm0451689,Edward Khmara
tt0089457,nm0859241,Michael Thomas
tt0089457,nm0542539,Tom Mankiewicz
tt0089457,nm0672459,David Webb Peoples
tt0089461,nm0893207,Louis Venosta
tt0089730,nm0898001,Dimitri Villard
tt0089730,nm0385653,David Hines
tt0089730,nm0369492,Jeffrey Hause
tt0089730,nm0731271,Jonathan Roberts
tt0089755,nm0227598,Karen Blixen
tt0089755,nm0862189,Judith Thurman
tt0089755,nm1429643,Errol Trzebinski
tt0089755,nm0525104,Kurt Luedtke
tt0089853,nm0000095,Woody Allen
tt0089880,nm0606251,David Morrell
tt0089880,nm0418883,Kevin Jarre
tt0089880,nm0000230,Sylvester Stallone
tt0089880,nm0000116,James Cameron
tt0089893,nm0397574,Robert E. Howard
tt0089893,nm0264088,Clive Exton
tt0089893,nm0292129,George MacDonald Fraser
tt0089893,nm0859471,Roy Thomas
tt0089893,nm0934817,Barry Windsor-Smith
tt0089981,nm0467942,Jim Kouf
tt0089981,nm0339264,David Greenwalt
tt0090057,nm0121425,Ann Burgund
tt0090057,nm0233409,Thomas Doran
tt0090057,nm1282971,Frank M. Farel
tt0090057,nm1285609,Brendan Faulkner
tt0090094,nm0169540,Larry Cohen
tt0090142,nm0517188,Jeph Loeb
tt0090142,nm0918861,Matthew Weisman
tt0090190,nm0442207,Lloyd Kaufman
tt0090190,nm0728766,Joe Ritter
tt0090190,nm0855988,Gay Partington Terry
tt0090190,nm0835376,Stuart Strutin
tt0090305,nm0000455,John Hughes
tt0090305,nm0271167,Al Feldstein
tt0090305,nm0301362,William M. Gaines
tt0090756,nm0000186,David Lynch
tt0090768,nm0145309,Nick Castle
tt0090859,nm0331514,Paula Gosling
tt0090859,nm0000230,Sylvester Stallone
tt0091042,nm0000455,John Hughes
tt0091069,nm0211193,Everett De Roche
tt0091069,nm0520431,Gabrielle Lord
tt0091188,nm0001188,Nora Ephron
tt0091203,nm0927074,Gregory Widen
tt0091203,nm0069282,Peter Bellwood
tt0091203,nm0272511,Larry Ferguson
tt0091209,nm0714599,Eric Red
tt0091306,nm0291905,David Franzoni
tt0091306,nm0796124,Charles Shyer
tt0091306,nm0583600,Nancy Meyers
tt0091306,nm0859977,Chris Thompson
tt0091306,nm0211823,Steven E. de Souza
tt0091530,nm0004122,Robert Bolt
tt0091544,nm0197088,Bob Dahlin
tt0091544,nm0074990,Peter L. Bergquist
tt0091630,nm0215269,Fred Dekker
tt0091763,nm0000231,Oliver Stone
tt0091790,nm0000455,John Hughes
tt0091828,nm0898812,Luciano Vincenzoni
tt0091828,nm0006872,Sergio Donati
tt0091828,nm0222904,Gary DeVore
tt0091828,nm0923319,Norman Wexler
tt0091867,nm0286950,E.M. Forster
tt0091867,nm0695609,Ruth Prawer Jhabvala
tt0091949,nm0934093,S.S. Wilson
tt0091949,nm0534681,Brent Maddock
tt0091949,nm0850695,Jay Tarses
tt0092005,nm0000175,Stephen King
tt0092005,nm0317279,Raynold Gideon
tt0092005,nm0262595,Bruce A. Evans
tt0092605,nm0583600,Nancy Meyers
tt0092605,nm0796124,Charles Shyer
tt0092666,nm0490958,Dale Launer
tt0092666,nm0001175,Blake Edwards
tt0092666,nm0228908,Leslie Dixon
tt0092666,nm0248901,Michael Alan Eddy
tt0092666,nm0740568,Tom Ropelewski
tt0092675,nm0504802,Sheldon Lettich
tt0092675,nm0181731,Christopher Cosby
tt0092675,nm0295305,Mel Friedman
tt0092675,nm0245235,Frank Dux
tt0092710,nm0088747,Lawrence Block
tt0092710,nm0517188,Jeph Loeb
tt0092710,nm0918861,Matthew Weisman
tt0092710,nm0933505,Hugh Wilson
tt0092718,nm0842464,Michael Swerdlick
tt0092906,nm0619547,Ed Naha
tt0093177,nm0000850,Clive Barker
tt0093191,nm0000694,Wim Wenders
tt0093191,nm0359563,Peter Handke
tt0093191,nm0718637,Richard Reitinger
tt0093191,nm0252065,Bernard Eisenschitz
tt0093437,nm0278969,Jan Fischer
tt0093437,nm0421894,James Jeremias
tt0093437,nm0090151,Jeffrey Boam
tt0093565,nm0788234,John Patrick Shanley
tt0093649,nm0650276,Alan Ormsby
tt0093649,nm0568588,Seth McEvoy
tt0093677,nm0000783,Dario Argento
tt0093677,nm0274853,Franco Ferrini
tt0093773,nm0859029,Jim Thomas
tt0093773,nm0859049,John Thomas
tt0093779,nm0001279,William Goldman
tt0093870,nm0627159,Edward Neumeier
tt0093870,nm0591160,Michael Miner
tt0093894,nm0000175,Stephen King
tt0093894,nm0211823,Steven E. de Souza
tt0094006,nm0000455,John Hughes
tt0094137,nm0785684,Coline Serreau
tt0094137,nm0650561,James Orr
tt0094137,nm0189979,Jim Cruickshank
tt0094293,nm0329180,Michael Patrick Goodman
tt0094293,nm0846532,Brian Taggert
tt0094293,nm0792446,Gary Sherman
tt0094625,nm0960028,Katsuhiro Ôtomo
tt0094625,nm0368051,Izô Hashimoto
tt0094721,nm0568313,Michael McDowell
tt0094721,nm0933733,Larry Wilson
tt0094721,nm0803730,Warren Skaaren
tt0094737,nm0002657,Gary Ross
tt0094737,nm0818576,Anne Spielberg
tt0094793,nm0376963,Frank Henenlotter
tt0094862,nm0238841,Don Mancini
tt0094862,nm0480843,John Lafia
tt0094862,nm0276169,Tom Holland
tt0094898,nm0000552,Eddie Murphy
tt0094898,nm0790775,David Sheffield
tt0094898,nm0087904,Barry W. Blaustein
tt0094963,nm0277807,Harry Julian Fink
tt0094963,nm0277849,Rita M. Fink
tt0094963,nm0788975,Steve Sharon
tt0094963,nm0669243,Durk Pearson
tt0094963,nm0787688,Sandy Shaw
tt0094964,nm0000343,David Cronenberg
tt0094964,nm0811138,Norman Snider
tt0094964,nm0939562,Bari Wood
tt0094964,nm0311316,Jack Geasland
tt0095016,nm0861636,Roderick Thorp
tt0095016,nm0835732,Jeb Stuart
tt0095016,nm0211823,Steven E. de Souza
tt0095294,nm0040643,Peter Atkins
tt0095294,nm0000850,Clive Barker
tt0095444,nm0158006,Charles Chiodo
tt0095444,nm0158014,Stephen Chiodo
tt0095444,nm0158008,Edward Chiodo
tt0095583,nm0169540,Larry Cohen
tt0095593,nm0835299,Barry Strugatz
tt0095593,nm0122787,Mark R. Burns
tt0095765,nm0868153,Giuseppe Tornatore
tt0095765,nm0660031,Vanna Paoli
tt0095925,nm0433179,Ed Justin
tt0095925,nm0136737,Mark Patrick Carducci
tt0095925,nm0935644,Stan Winston
tt0095925,nm0918376,Richard Weinman
tt0095925,nm0313927,Gary Gerani
tt0095956,nm0606251,David Morrell
tt0095956,nm0000230,Sylvester Stallone
tt0095956,nm0504802,Sheldon Lettich
tt0095963,nm0001353,Walter Hill
tt0095963,nm0459067,Harry Kleiner
tt0095963,nm0448392,Troy Kennedy Martin
tt0096101,nm0934093,S.S. Wilson
tt0096101,nm0534681,Brent Maddock
tt0096194,nm0130640,Antônio Calmon
tt0096194,nm0671877,Anna Penido
tt0096194,nm0814408,David Sonnenschein
tt0096320,nm0204030,William Davies
tt0096320,nm0651758,William Osborne
tt0096320,nm0365390,Timothy Harris
tt0096320,nm0918339,Herschel Weingrod
tt0096332,nm0475081,Milan Kundera
tt0096332,nm0140643,Jean-Claude Carrière
tt0096332,nm0442241,Philip Kaufman
tt0096463,nm0905458,Kevin Wade
tt0096523,nm0684509,Claude Pinoteau
tt0096523,nm0860019,Danièle Thompson
tt0096794,nm0069547,Jerry Belson
tt0096794,nm0874308,Dalton Trumbo
tt0096794,nm0107288,Frederick Hazlitt Brennan
tt0096794,nm0819546,Chandler Sprague
tt0096794,nm0091200,David Boehm
tt0096874,nm0000709,Robert Zemeckis
tt0096874,nm0301826,Bob Gale
tt0096945,nm0440383,Ryôzô Kasahara
tt0096945,nm0138706,Charles Robert Carner
tt0097138,nm0089502,Albert Pyun
tt0097165,nm0776114,Tom Schulman
tt0097239,nm0880261,Alfred Uhry
tt0097428,nm0000101,Dan Aykroyd
tt0097428,nm0000601,Harold Ramis
tt0097499,nm0000636,William Shakespeare
tt0097499,nm0000110,Kenneth Branagh
tt0097523,nm0002340,Stuart Gordon
tt0097523,nm0951206,Brian Yuzna
tt0097523,nm0619547,Ed Naha
tt0097523,nm0776114,Tom Schulman
tt0097659,nm0228262,Mark DiSalle
tt0097659,nm0000241,Jean-Claude Van Damme
tt0097659,nm0115486,Glenn A. Bruce
tt0097722,nm0771512,Michael Schiffer
tt0097770,nm0809700,Richard Smith
tt0097770,nm0835732,Jeb Stuart
tt0097770,nm0742132,Henry Rosenbaum
tt0097778,nm0002132,Amy Heckerling
tt0097790,nm0771494,Robin Schiff
tt0097790,nm0740568,Tom Ropelewski
tt0097790,nm0228908,Leslie Dixon
tt0097937,nm0174934,Shane Connaughton
tt0097937,nm0006487,Jim Sheridan
tt0097937,nm0113272,Christy Brown
tt0098084,nm0000175,Stephen King
tt0098143,nm0023929,Charles Band
tt0098143,nm0355790,Kenneth J. Hall
tt0098143,nm0227187,David Schmoeller
tt0098143,nm0136592,J.S. Cardone
tt0098213,nm0601619,Michael Moore
tt0098258,nm0001081,Cameron Crowe
tt0098354,nm0445319,Zeph E. Daniel
tt0098354,nm0296779,Rick Fry
tt0098439,nm0271098,Randy Feldman
tt0098635,nm0001188,Nora Ephron
tt0098800,nm0097273,Andy Borowitz
tt0098800,nm0097275,Susan Borowitz
tt0098800,nm0575656,Benny Medina
tt0098800,nm0689385,Jeff Pollack
tt0098800,nm0742792,Lisa Rosenthal
tt0098800,nm0800111,David Steven Simon
tt0098800,nm0931638,Samm-Art Williams
tt0098800,nm0712904,Leslie Ray
tt0098800,nm0958412,David Zuckerman
tt0098800,nm0724839,Bennie R. Richburg Jr.
tt0098800,nm0306584,Cheryl Gard
tt0098800,nm0781508,Efrem Seeger
tt0098800,nm0935680,Bryan Winter
tt0098800,nm0931223,Maiya Williams
tt0098800,nm0331212,Eddie Gorodetsky
tt0098800,nm0348765,Barry Gurstein
tt0098800,nm0685735,David Pitlik
tt0098800,nm0811942,Mike Soccio
tt0098800,nm0969183,Shannon Gaughan
tt0098800,nm0381161,Winifred Hervey
tt0098800,nm0099618,Bill Boulware
tt0098800,nm0588375,Gary H. Miller
tt0098800,nm0548715,Adam Markowitz
tt0098800,nm0972395,Rob Edwards
tt0098800,nm1447614,Sandy Frank
tt0098800,nm0788420,Devon Shepard
tt0098800,nm0968998,Tom Devanney
tt0098800,nm0534983,Joel Madison
tt0098800,nm3169834,Michael Fry
tt0098800,nm0972444,K. Snyder
tt0098800,nm0009178,Gayle Abrams
tt0098800,nm0021175,Andrea Allen-Wiley
tt0098800,nm0725983,John Ridley
tt0098800,nm0115572,Robert Bruce
tt0098800,nm0850696,Matt Tarses
tt0098800,nm0101337,John Bowman
tt0098800,nm0122497,Ed Burnham
tt0098800,nm6303953,William Missouri Downs
tt0098800,nm0969171,Marcus Jamal Gaines
tt0098800,nm0628074,Elaine Newman
tt0098800,nm0095504,Eunetta T. Boone
tt0098800,nm0970005,P. Karen Raper
tt0098800,nm0743514,Jerry Ross
tt0098800,nm0970542,Linda M. Yearwood
tt0098800,nm0544622,Myles Avery Mapp
tt0098800,nm1155839,Casey Maxwell Clair
tt0098800,nm0000226,Will Smith
tt0098800,nm0972381,Harrison Boyd
tt0098800,nm0395923,Rich Hosek
tt0098800,nm0463176,Jenji Kohan
tt0098800,nm0748860,Arnold Rudnick
tt0098800,nm0026694,Ernest 'Tron' Anderson
tt0098800,nm0122084,Ron Burla
tt0098800,nm0189137,Dan Cross
tt0098800,nm0235925,Leilani Downer
tt0098800,nm0308194,Roger Garrett
tt0098800,nm0326247,Josh Goldstein
tt0098800,nm0376429,Felicia D. Henderson
tt0098800,nm0389668,David Hoge
tt0098800,nm0780160,Mort Scrivner
tt0098800,nm2372419,Kandace Yvette Williams
tt0098800,nm0932831,Larry Wilmore
tt0098800,nm0969899,Mary Beth Pemberton
tt0098800,nm0872621,George Tricker
tt0098800,nm0911865,Tanya Ward
tt0098800,nm0943535,David Wyatt
tt0098966,nm0785684,Coline Serreau
tt0098966,nm0663490,Sara Parriott
tt0098966,nm0569210,Josann McGibbon
tt0098966,nm0676361,Charlie Peters
tt0099253,nm0238841,Don Mancini
tt0099329,nm0000691,John Waters
tt0099385,nm0275286,David S. Goyer
tt0099409,nm0371092,Joseph Hayes
tt0099409,nm0465199,Lawrence Konner
tt0099409,nm0742797,Mark Rosenthal
tt0099487,nm0000318,Tim Burton
tt0099487,nm0003031,Caroline Thompson
tt0099595,nm0486689,Roy Langsdon
tt0099595,nm0686869,John Platt
tt0099595,nm0324875,Menahem Golan
tt0099653,nm0748022,Bruce Joel Rubin
tt0099699,nm0001837,Peter Weir
tt0099700,nm0351919,Charles S. Haas
tt0099700,nm0001060,Chris Columbus
tt0099763,nm0278626,Richard Fire
tt0099763,nm0573796,John McNaughton
tt0099785,nm0000455,John Hughes
tt0099826,nm0695112,Timothy Prager
tt0099826,nm0224008,Madeline Di Maggio
tt0099826,nm0908807,Pamela Wallace
tt0099864,nm0000175,Stephen King
tt0099864,nm0908890,Tommy Lee Wallace
tt0099864,nm0169548,Lawrence D. Cohen
tt0099938,nm0758010,Murray Salem
tt0099938,nm0918339,Herschel Weingrod
tt0099938,nm0365390,Timothy Harris
tt0099969,nm0797854,Joel Silberg
tt0099969,nm0719131,Sheldon Renan
tt0100029,nm0913027,Stefani Warren
tt0100029,nm0000241,Jean-Claude Van Damme
tt0100029,nm0504802,Sheldon Lettich
tt0100050,nm0002132,Amy Heckerling
tt0100050,nm0411477,Neal Israel
tt0100070,nm0227728,Carlos Alberto Diniz
tt0100070,nm0350844,Luís Carlos Góes
tt0100070,nm0871244,Patricya Travassos
tt0100070,nm0943405,Yoya Wursch
tt0100157,nm0000175,Stephen King
tt0100157,nm0001279,William Goldman
tt0100240,nm0003369,Karin Howard
tt0100240,nm0256779,Michael Ende
tt0100395,nm0000402,Carrie Fisher
tt0100405,nm0493369,J.F. Lawton
tt0100419,nm0018735,Scott Alexander
tt0100419,nm0438989,Larry Karaszewski
tt0100438,nm0023929,Charles Band
tt0100438,nm0655029,David Pabian
tt0100438,nm0227187,David Schmoeller
tt0100502,nm0627159,Edward Neumeier
tt0100502,nm0591160,Michael Miner
tt0100502,nm0588340,Frank Miller
tt0100502,nm0338396,Walon Green
tt0100680,nm0054966,Pat Barker
tt0100680,nm0290809,Harriet Frank Jr.
tt0100680,nm0712419,Irving Ravetch
tt0100802,nm0001140,Philip K. Dick
tt0100802,nm0795953,Ronald Shusett
tt0100802,nm0639321,Dan O'Bannon
tt0100802,nm0693956,Jon Povill
tt0100802,nm0325778,Gary Goldman
tt0100814,nm0934093,S.S. Wilson
tt0100814,nm0534681,Brent Maddock
tt0100814,nm0881038,Ron Underwood
tt0100935,nm0317510,Barry Gifford
tt0100935,nm0000186,David Lynch
tt0101272,nm0011623,Charles Addams
tt0101272,nm0003031,Caroline Thompson
tt0101272,nm0933733,Larry Wilson
tt0101309,nm0020397,Curt Allen
tt0101455,nm0833164,Jim Strain
tt0101492,nm0092267,Pierre Boileau
tt0101492,nm0092268,Thomas Narcejac
tt0101492,nm0380977,Patricia Herskovic
tt0101492,nm0852675,Joyce Taylor
tt0101492,nm0714599,Eric Red
tt0101492,nm0811138,Norman Snider
tt0101764,nm0504802,Sheldon Lettich
tt0101764,nm0000241,Jean-Claude Van Damme
tt0101764,nm0576228,Steve Meerson
tt0101764,nm0471298,Peter Krikes
tt0101862,nm0329304,Frances Goodrich
tt0101862,nm0352443,Albert Hackett
tt0101862,nm0583600,Nancy Meyers
tt0101862,nm0796124,Charles Shyer
tt0101912,nm0573645,Terrence McNally
tt0102103,nm0449576,Sarah Kernochan
tt0102266,nm0000948,Shane Black
tt0102266,nm0382855,Greg Hicks
tt0102492,nm0253214,Laurice Elehwany
tt0102494,nm0001814,Gus Van Sant
tt0102494,nm0000636,William Shakespeare
tt0102590,nm0549369,Malia Scotch Marmo
tt0102690,nm0809405,Mitchell Smith
tt0102690,nm0650276,Alan Ormsby
tt0102719,nm0018735,Scott Alexander
tt0102719,nm0438989,Larry Karaszewski
tt0102728,nm0023929,Charles Band
tt0102728,nm0003676,C. Courtney Joyner
tt0102728,nm0227187,David Schmoeller
tt0102926,nm0365383,Thomas Harris
tt0102926,nm0848217,Ted Tally
tt0103064,nm0000116,James Cameron
tt0103064,nm0936537,William Wisher
tt0103074,nm0451884,Callie Khouri
tt0103239,nm0587999,Broderick Miller
tt0103241,nm0765091,Alvin Sargent
tt0103241,nm0957205,Laura Ziskin
tt0103241,nm0776114,Tom Schulman
tt0103247,nm0518711,Jack London
tt0103247,nm0742236,Jeanne Rosenberg
tt0103247,nm0857904,Nick Thiel
tt0103247,nm0266409,David Fallon
tt0103262,nm0931285,Matt Williams
tt0103262,nm0766020,Oley Sassone
tt0103776,nm0004170,Bob Kane
tt0103776,nm0914058,Daniel Waters
tt0103776,nm0358334,Sam Hamm
tt0103786,nm0000455,John Hughes
tt0103786,nm0427468,Amy Holden Jones
tt0103859,nm0087904,Barry W. Blaustein
tt0103859,nm0790775,David Sheffield
tt0103859,nm0000552,Eddie Murphy
tt0103873,nm0801728,Stephen Sinclair
tt0103873,nm0909638,Fran Walsh
tt0103873,nm0001392,Peter Jackson
tt0103919,nm0000850,Clive Barker
tt0103919,nm0741262,Bernard Rose
tt0103956,nm0238841,Don Mancini
tt0104070,nm0233026,Martin Donovan
tt0104070,nm0462895,David Koepp
tt0104231,nm0231190,Bob Dolman
tt0104231,nm0000165,Ron Howard
tt0104389,nm0798646,Amanda Silver
tt0104409,nm0040643,Peter Atkins
tt0104409,nm0709752,Tony Randel
tt0104409,nm0000850,Clive Barker
tt0104431,nm0000455,John Hughes
tt0104437,nm0002340,Stuart Gordon
tt0104437,nm0951206,Brian Yuzna
tt0104437,nm0619547,Ed Naha
tt0104437,nm0329340,Garry Goodrow
tt0104437,nm0248054,Thom Eberhardt
tt0104437,nm0253004,Peter Elbling
tt0104454,nm0286950,E.M. Forster
tt0104454,nm0695609,Ruth Prawer Jhabvala
tt0104670,nm0120790,Curtis Burch
tt0104822,nm0104631,Richard Brandes
tt0105108,nm0636387,Frank Norwood
tt0105128,nm0653693,Richard Outten
tt0105130,nm0748852,Rita Rudner
tt0105130,nm0074918,Martin Bergman
tt0105217,nm0000361,Brian De Palma
tt0105236,nm0000233,Quentin Tarantino
tt0105236,nm0000812,Roger Avary
tt0105415,nm0001081,Cameron Crowe
tt0105417,nm0397411,Paul Rudnick
tt0105428,nm0000175,Stephen King
tt0105459,nm0860155,Gary Scott Thompson
tt0105695,nm0672459,David Webb Peoples
tt0105698,nm0745330,Richard Rothstein
tt0105698,nm0500609,Christopher Leitch
tt0105698,nm0002041,Dean Devlin
tt0106222,nm0281258,Graham Flashner
tt0106222,nm0314643,Ed Gernon
tt0106222,nm2446740,Tess Gerritsen
tt0106375,nm0000455,John Hughes
tt0106375,nm0427468,Amy Holden Jones
tt0106375,nm0089676,Len Blum
tt0106400,nm0377417,Paul Henning
tt0106400,nm0465199,Lawrence Konner
tt0106400,nm0742797,Mark Rosenthal
tt0106400,nm0279576,Jim Fisher
tt0106400,nm0820852,Jim Staahl
tt0106426,nm0511886,Stewart Lindh
tt0106426,nm0918324,Solomon Weingarten
tt0106426,nm0137368,John Carlen
tt0106557,nm0441623,A L Katz
tt0106557,nm0012155,Gilbert Adler
tt0106557,nm0000175,Stephen King
tt0106582,nm0519026,John Long
tt0106582,nm0289833,Michael France
tt0106582,nm0000230,Sylvester Stallone
tt0106627,nm0788454,Alan Shapiro
tt0106677,nm0000500,Richard Linklater
tt0106697,nm0006997,Peter M. Lenkov
tt0106697,nm0719427,Robert Reneau
tt0106697,nm0914058,Daniel Waters
tt0106701,nm0450477,Hank Ketcham
tt0106701,nm0000455,John Hughes
tt0106856,nm0808076,Ebbe Roe Smith
tt0106977,nm0835732,Jeb Stuart
tt0106977,nm0878638,David Twohy
tt0106977,nm0400403,Roy Huggins
tt0107034,nm0568605,Ian McEwan
tt0107048,nm0748035,Danny Rubin
tt0107048,nm0000601,Harold Ramis
tt0107076,nm0679326,Chuck Pfarrer
tt0107151,nm0021196,Isabel Allende
tt0107151,nm0000806,Bille August
tt0107207,nm0174840,Gerry Conlon
tt0107207,nm0313623,Terry George
tt0107207,nm0006487,Jim Sheridan
tt0107362,nm0672015,Zak Penn
tt0107362,nm0498963,Adam Leff
tt0107362,nm0000948,Shane Black
tt0107362,nm0036714,David Arnott
tt0107387,nm0428751,Mark Jones
tt0107478,nm0105033,Marcia Brandwynne
tt0107478,nm0771486,Nadine Schiff
tt0107478,nm0805965,Holly Goldberg Sloan
tt0107614,nm0277590,Anne Fine
tt0107614,nm0802020,Randi Mayem Singer
tt0107614,nm0228908,Leslie Dixon
tt0107664,nm0295165,Brent Friedman
tt0107664,nm0304521,Christophe Gans
tt0107664,nm0411872,Kazunori Itô
tt0107664,nm0522454,H.P. Lovecraft
tt0107664,nm0951206,Brian Yuzna
tt0107711,nm0000390,Joe Eszterhas
tt0107711,nm0549658,Richard Marquand
tt0107711,nm0092018,Leslie Bohem
tt0107711,nm0271098,Randy Feldman
tt0107798,nm0001300,John Grisham
tt0107798,nm0001587,Alan J. Pakula
tt0107818,nm0638913,Ron Nyswaner
tt0107899,nm0378071,Todd Henschell
tt0107899,nm0139871,Steven E. Carr
tt0107899,nm0240551,Jo Duffy
tt0107899,nm0007439,Doug Aarniokoski
tt0107899,nm0668501,Keith Payson
tt0107978,nm0627159,Edward Neumeier
tt0107978,nm0591160,Michael Miner
tt0107978,nm0588340,Frank Miller
tt0107978,nm0215269,Fred Dekker
tt0108149,nm0345359,John Guare
tt0108160,nm0033578,Jeff Arch
tt0108160,nm0001188,Nora Ephron
tt0108160,nm0911486,David S. Ward
tt0108174,nm0289219,Robbie Fox
tt0108255,nm0071970,Parker Bennett
tt0108255,nm0750344,Terry Runte
tt0108255,nm0004412,Ed Solomon
tt0108473,nm0469104,Tim Krabbé
tt0108473,nm0333804,Todd Graff
tt0108550,nm0373282,Peter Hedges
tt0109040,nm0077062,Jack Bernstein
tt0109040,nm0001723,Tom Shadyac
tt0109040,nm0000120,Jim Carrey
tt0109068,nm0929186,Rich Wilkes
tt0109280,nm0453388,Chi Kim
tt0109280,nm0578128,Greg Mellott
tt0109287,nm0811414,Blake Snyder
tt0109287,nm0139655,Colby Carr
tt0109415,nm0505262,Dode B. Levenson
tt0109415,nm0000175,Stephen King
tt0109415,nm0338557,Matt Greenberg
tt0109445,nm0003620,Kevin Smith
tt0109484,nm0625458,Jessie Nelson
tt0109579,nm0233557,Ariel Dorfman
tt0109579,nm0947913,Rafael Yglesias
tt0109686,nm0268380,Peter Farrelly
tt0109686,nm0947395,Bennett Yellin
tt0109686,nm0125803,Bobby Farrelly
tt0109707,nm0340674,Rudolph Grey
tt0109707,nm0018735,Scott Alexander
tt0109707,nm0438989,Larry Karaszewski
tt0109830,nm0343165,Winston Groom
tt0109830,nm0744839,Eric Roth
tt0109831,nm0193485,Richard Curtis
tt0109890,nm0860292,Jim Thompson
tt0109890,nm0001353,Walter Hill
tt0109890,nm0427468,Amy Holden Jones
tt0110093,nm0583600,Nancy Meyers
tt0110093,nm0796124,Charles Shyer
tt0110216,nm0905458,Kevin Wade
tt0110216,nm0175620,Chris Conrad
tt0110357,nm0575293,Irene Mecchi
tt0110357,nm0731271,Jonathan Roberts
tt0110357,nm0941314,Linda Woolverton
tt0110357,nm0560329,Burny Mattinson
tt0110357,nm0424556,Barry Johnson
tt0110357,nm0177170,Lorna Cook
tt0110357,nm0258059,Thom Enriquez
tt0110357,nm0309128,Andy Gaskill
tt0110357,nm0873779,Gary Trousdale
tt0110357,nm0135296,Jim Capobianco
tt0110357,nm0363125,Kevin Harkey
tt0110357,nm0460146,Jorgen Klubien
tt0110357,nm0761498,Chris Sanders
tt0110357,nm0004552,Tom Sito
tt0110357,nm0500858,Larry Leker
tt0110357,nm0710020,Joe Ranft
tt0110357,nm0538588,Rick Maki
tt0110357,nm0326814,Ed Gombert
tt0110357,nm0322368,Francis Glebas
tt0110357,nm0442483,Mark Kausler
tt0110357,nm0020599,J.T. Allen
tt0110357,nm0780117,George Scribner
tt0110357,nm0854185,Miguel Tejada-Flores
tt0110357,nm0873092,Jenny Tripp
tt0110357,nm0879318,Bob Tzudiker
tt0110357,nm0901038,Christopher Vogler
tt0110357,nm0936374,Kirk Wise
tt0110357,nm0925276,Noni White
tt0110357,nm0152312,Brenda Chapman
tt0110366,nm0790715,Penelope Spheeris
tt0110366,nm0938774,Robert Wolterstorff
tt0110366,nm0779592,Mike Scott
tt0110366,nm0345488,Paul Guay
tt0110366,nm0563397,Stephen Mazur
tt0110391,nm0186118,Mildred Cram
tt0110391,nm0564970,Leo McCarey
tt0110391,nm0202681,Delmer Daves
tt0110391,nm0829330,Donald Ogden Stewart
tt0110391,nm0001801,Robert Towne
tt0110391,nm0000886,Warren Beatty
tt0110413,nm0000108,Luc Besson
tt0110475,nm0266430,Michael Fallon
