const,nconst,director
tt0104231,nm0000165,Ron Howard
tt0104389,nm0000436,Curtis Hanson
tt0104409,nm0382776,Anthony Hickox
tt0104431,nm0001060,Chris Columbus
tt0104437,nm0459170,Randal Kleiser
tt0104454,nm0412465,James Ivory
tt0104670,nm0002089,Sidney J. Furie
tt0104822,nm0000712,Steve Cohen
tt0105108,nm0253531,Jan Eliasberg
tt0105128,nm0005116,Mary Lambert
tt0105130,nm0000110,Kenneth Branagh
tt0105217,nm0000361,Brian De Palma
tt0105236,nm0000233,Quentin Tarantino
tt0105415,nm0001081,Cameron Crowe
tt0105417,nm0001915,Emile Ardolino
tt0105428,nm0308376,Mick Garris
tt0105459,nm0562699,Tony Maylam
tt0105695,nm0000142,Clint Eastwood
tt0105698,nm0000386,Roland Emmerich
tt0106222,nm0240995,Christian Duguay
tt0106375,nm0199722,Rod Daniel
tt0106400,nm0790715,Penelope Spheeris
tt0106426,nm0614276,Geoff Murphy
tt0106557,nm0002606,David Price
tt0106582,nm0001317,Renny Harlin
tt0106627,nm0788454,Alan Shapiro
tt0106677,nm0000500,Richard Linklater
tt0106697,nm0104193,Marco Brambilla
tt0106701,nm0145309,Nick Castle
tt0106856,nm0001708,Joel Schumacher
tt0106977,nm0001112,Andrew Davis
tt0107034,nm0747849,Joseph Ruben
tt0107048,nm0000601,Harold Ramis
tt0107076,nm0000247,John Woo
tt0107151,nm0000806,Bille August
tt0107207,nm0006487,Jim Sheridan
tt0107362,nm0001532,John McTiernan
tt0107387,nm0428751,Mark Jones
tt0107478,nm0000907,Richard Benjamin
tt0107614,nm0001060,Chris Columbus
tt0107664,nm0304521,Christophe Gans
tt0107664,nm0437526,Shûsuke Kaneko
tt0107664,nm0951206,Brian Yuzna
tt0107711,nm0363553,Robert Harmon
tt0107798,nm0001587,Alan J. Pakula
tt0107818,nm0001129,Jonathan Demme
tt0107899,nm0123009,Jeff Burr
tt0107978,nm0215269,Fred Dekker
tt0108149,nm0770961,Fred Schepisi
tt0108160,nm0001188,Nora Ephron
tt0108174,nm0772095,Thomas Schlamme
tt0108255,nm0417708,Annabel Jankel
tt0108255,nm0608084,Rocky Morton
tt0108473,nm0806293,George Sluizer
tt0108550,nm0002120,Lasse Hallström
tt0109040,nm0001723,Tom Shadyac
tt0109068,nm0499724,Michael Lehmann
tt0109280,nm0453388,Chi Kim
tt0109287,nm0906548,Rupert Wainwright
tt0109415,nm0382783,James D.R. Hickox
tt0109445,nm0003620,Kevin Smith
tt0109484,nm0625458,Jessie Nelson
tt0109579,nm0000591,Roman Polanski
tt0109686,nm0268380,Peter Farrelly
tt0109686,nm0125803,Bobby Farrelly
tt0109707,nm0000318,Tim Burton
tt0109830,nm0000709,Robert Zemeckis
tt0109831,nm0001565,Mike Newell
tt0109890,nm0002044,Roger Donaldson
tt0110093,nm0796124,Charles Shyer
tt0110216,nm0718645,Ivan Reitman
tt0110357,nm0021249,Roger Allers
tt0110357,nm0591450,Rob Minkoff
tt0110366,nm0790715,Penelope Spheeris
tt0110391,nm0139111,Glenn Gordon Caron
tt0110413,nm0000108,Luc Besson
tt0110475,nm0751080,Chuck Russell
tt0110598,nm0389591,P.J. Hogan
tt0110604,nm0909026,Anthony Waller
tt0110737,nm0422484,Norman Jewison
tt0110877,nm0705535,Michael Radford
tt0110877,nm0873385,Massimo Troisi
tt0110916,nm0123009,Jeff Burr
tt0110989,nm0677953,Donald Petrie
tt0111082,nm0203039,Pierre David
tt0111161,nm0001104,Frank Darabont
tt0111255,nm0515891,Luis Llosa
tt0111257,nm0000957,Jan de Bont
tt0111301,nm0211823,Steven E. de Souza
tt0111323,nm0225416,Ernest R. Dickerson
tt0111418,nm0281598,Andrew Fleming
tt0111438,nm0001382,Peter Hyams
tt0111503,nm0000116,James Cameron
tt0111507,nm0001425,Krzysztof Kieslowski
tt0112130,nm0486748,Simon Langton
tt0112281,nm0644203,Steve Oedekerk
tt0112346,nm0001661,Rob Reiner
tt0112401,nm0001149,Richard Donner
tt0112471,nm0000500,Richard Linklater
tt0112625,nm0174374,Bill Condon
tt0112642,nm0797869,Brad Silberling
tt0112697,nm0002132,Amy Heckerling
tt0112792,nm0808807,John N. Smith
tt0113089,nm0137363,Carlo Carlei
tt0113117,nm0001410,Lawrence Kasdan
tt0113243,nm0812200,Iain Softley
tt0113321,nm0000149,Jodie Foster
tt0113376,nm2011815,Norman Apstein
tt0113448,nm0003201,Tim Sullivan
tt0113492,nm0134176,Danny Cannon
tt0113497,nm0002653,Joe Johnston
tt0113749,nm0003620,Kevin Smith
tt0113855,nm0027271,Paul W.S. Anderson
tt0113862,nm0378893,Stephen Herek
tt0113936,nm0538614,Kelly Makin
tt0113986,nm0001060,Chris Columbus
tt0114134,nm0000425,Peter Greenaway
tt0114188,nm0066439,Greg Beeman
tt0114319,nm0001628,Sydney Pollack
tt0114369,nm0000399,David Fincher
tt0114388,nm0000487,Ang Lee
tt0114508,nm0002044,Roger Donaldson
tt0114576,nm0001382,Peter Hyams
tt0114720,nm0934093,S.S. Wilson
tt0114814,nm0001741,Bryan Singer
tt0114857,nm0502577,Brett Leonard
tt0114906,nm0001754,Todd Solondz
tt0114924,nm0005509,Jon Turteltaub
tt0115644,nm0325533,Michael Goldenberg
tt0115678,nm0001714,Campbell Scott
tt0115678,nm0001804,Stanley Tucci
tt0115685,nm0001566,Mike Nichols
tt0115725,nm0422484,Norman Jewison
tt0115798,nm0001774,Ben Stiller
tt0115950,nm0170043,Isabel Coixet
tt0115963,nm0281598,Andrew Fleming
tt0115988,nm0405336,Nicholas Hytner
tt0116036,nm0800872,Megan Simpson Huberman
tt0116040,nm0003418,Rob Cohen
tt0116075,nm0951206,Brian Yuzna
tt0116095,nm0154819,Jeremiah S. Chechik
tt0116151,nm0477129,Ken Kwapis
tt0116209,nm0005237,Anthony Minghella
tt0116213,nm0751080,Chuck Russell
tt0116282,nm0001054,Joel Coen
tt0116282,nm0001053,Ethan Coen
tt0116313,nm0933505,Hugh Wilson
tt0116514,nm0944892,Kevin Yagher
tt0116629,nm0000386,Roland Emmerich
tt0116669,nm0000338,Francis Ford Coppola
tt0116695,nm0001081,Cameron Crowe
tt0116999,nm0952360,Jerry Zaks
tt0117008,nm0000362,Danny DeVito
tt0117011,nm0482681,Ringo Lam
tt0117038,nm0001188,Nora Ephron
tt0117218,nm0001723,Tom Shadyac
tt0117247,nm0001355,Michael Hoffman
tt0117276,nm0089176,Jason Bloom
tt0117372,nm0001508,Penny Marshall
tt0117407,nm0716347,Nicolas Winding Refn
tt0117420,nm0000241,Jean-Claude Van Damme
tt0117438,nm0000165,Ron Howard
tt0117571,nm0000127,Wes Craven
tt0117826,nm0012155,Gilbert Adler
tt0117887,nm0000158,Tom Hanks
tt0117913,nm0001708,Joel Schumacher
tt0117951,nm0000965,Danny Boyle
tt0117979,nm0499724,Michael Lehmann
tt0117998,nm0000957,Jan de Bont
tt0118001,nm0874096,Fernando Trueba
tt0118254,nm0198991,Mel Damski
tt0118254,nm0690607,Jonathan Pontell
tt0118254,nm0002704,Bill D'Elia
tt0118254,nm0762541,Arlene Sanford
tt0118254,nm0776317,Michael Schultz
tt0118254,nm0225621,Billy Dickson
tt0118254,nm0844358,Jeannot Szwarc
tt0118254,nm0330140,Dennie Gordon
tt0118254,nm0003080,Rachel Talalay
tt0118254,nm0385151,Bethany Rooney
tt0118254,nm0113054,Arvin Brown
tt0118254,nm0001493,Peter MacNicol
tt0118254,nm0336241,Alex Graves
tt0118254,nm0650905,Kenny Ortega
tt0118254,nm0772095,Thomas Schlamme
tt0118254,nm0810553,Sandy Smolan
tt0118254,nm0035106,Allan Arkush
tt0118254,nm0444709,Elodie Keene
tt0118254,nm0592813,Vincent Misiano
tt0118254,nm0005088,Joanna Kerns
tt0118254,nm0070474,Jack Bender
tt0118254,nm0343622,David Grossman
tt0118254,nm0779641,Oz Scott
tt0118254,nm0003733,Daniel Attias
tt0118254,nm0292419,James Frawley
tt0118254,nm0387800,Victoria Hochberg
tt0118254,nm0621137,Joe Napolitano
tt0118254,nm0003167,Jace Alexander
tt0118254,nm0240797,Dennis Dugan
tt0118254,nm0434571,Jeremy Kagan
tt0118254,nm0601963,Tom Moore
tt0118254,nm0632382,Adam Nimoy
tt0118254,nm0506802,Ben Lewin
tt0118254,nm0330057,Bryan Gordon
tt0118254,nm0446060,Barnet Kellman
tt0118254,nm0004627,Michael Lange
tt0118254,nm0002887,Alan Myerson
tt0118254,nm0035060,Adam Arkin
tt0118254,nm0314524,Greg Germann
tt0118254,nm0481358,Ron Lagomarsino
tt0118254,nm0027413,Sarah Pia Anderson
tt0118254,nm0326837,Steve Gomer
tt0118254,nm0783751,David Semel
tt0118301,nm0169874,Alan Cohn
tt0118528,nm0001243,William Friedkin
tt0118556,nm0001162,Griffin Dunne
tt0118694,nm0939182,Wong Kar-Wai
tt0118715,nm0001054,Joel Coen
tt0118715,nm0001053,Ethan Coen
tt0118798,nm0000886,Warren Beatty
tt0118799,nm0000905,Roberto Benigni
tt0118884,nm0000709,Robert Zemeckis
tt0118887,nm0003506,James Mangold
tt0118928,nm0002044,Roger Donaldson
tt0118971,nm0000431,Taylor Hackford
tt0118998,nm0858525,Betty Thomas
tt0119013,nm0007139,Hark Tsui
tt0119054,nm0205157,Michael Davis
tt0119099,nm0387706,Gregory Hoblit
tt0119137,nm0562645,Les Mayfield
tt0119223,nm0190859,Alfonso Cuarón
tt0119229,nm0000786,George Armitage
tt0119313,nm0001845,Forest Whitaker
tt0119345,nm0318947,Jim Gillespie
tt0119528,nm0001723,Tom Shadyac
tt0119535,nm0000965,Danny Boyle
tt0119567,nm0000229,Steven Spielberg
tt0119632,nm0423623,Mark Joffe
tt0119643,nm0000976,Martin Brest
tt0119654,nm0001756,Barry Sonnenfeld
tt0119668,nm0000142,Clint Eastwood
tt0119707,nm0502954,John R. Leonetti
tt0119738,nm0389591,P.J. Hogan
tt0119778,nm0026442,Brad Anderson
tt0119822,nm0000985,James L. Brooks
tt0120082,nm0000127,Wes Craven
tt0120094,nm0622695,Gregory Nava
tt0120265,nm0452102,Abbas Kiarostami
tt0120338,nm0000116,James Cameron
tt0120376,nm0398986,George Huang
tt0120382,nm0001837,Peter Weir
tt0120587,nm0201509,Eric Darnell
tt0120587,nm0426333,Tim Johnson
tt0120587,nm0349183,Lawrence Guterman
tt0120591,nm0000881,Michael Bay
tt0120616,nm0814085,Stephen Sommers
tt0120631,nm0855035,Andy Tennant
tt0120632,nm0797869,Brad Silberling
tt0120647,nm0001460,Mimi Leder
tt0120655,nm0003620,Kevin Smith
tt0120660,nm0001716,Tony Scott
tt0120663,nm0000040,Stanley Kubrick
tt0120679,nm0853380,Julie Taymor
tt0120686,nm0001060,Chris Columbus
tt0120687,nm0325128,Sandra Goldbacher
tt0120692,nm0449576,Sarah Kernochan
tt0120694,nm0591171,Steve Miner
tt0120701,nm0378893,Stephen Herek
tt0120724,nm0007139,Hark Tsui
tt0120749,nm0000887,Harold Becker
tt0120772,nm0405336,Nicholas Hytner
tt0120780,nm0001752,Steven Soderbergh
tt0120783,nm0583600,Nancy Meyers
tt0120787,nm0001112,Andrew Davis
tt0120789,nm0002657,Gary Ross
tt0120791,nm0001162,Griffin Dunne
tt0120802,nm0320660,François Girard
tt0120815,nm0000229,Steven Spielberg
tt0120824,nm0002120,Lasse Hallström
tt0120828,nm0718645,Ivan Reitman
tt0120836,nm0689385,Jeff Pollack
tt0120841,nm0575389,Peter Medak
tt0120873,nm0000829,Stuart Baird
tt0120885,nm0001469,Barry Levinson
tt0120891,nm0001756,Barry Sonnenfeld
tt0120912,nm0001756,Barry Sonnenfeld
tt0122459,nm0001372,Bonnie Hunt
tt0123209,nm0005190,Garry Marshall
tt0124349,nm0847749,Tibor Takács
tt0124879,nm0425756,Mark Steven Johnson
tt0124901,nm0940790,Skip Woods
tt0125439,nm0585011,Roger Michell
tt0125971,nm0180912,Michael Corrente
tt0126388,nm0003423,Peter MacDonald
tt0126886,nm0668247,Alexander Payne
tt0127626,nm0532702,Juliusz Machulski
tt0127723,nm0253323,Harry Elfont
tt0127723,nm0438226,Deborah Kaplan
tt0128853,nm0001188,Nora Ephron
tt0129290,nm0001723,Tom Shadyac
tt0129387,nm0125803,Bobby Farrelly
tt0129387,nm0268380,Peter Farrelly
tt0129884,nm0567126,Bruce McCulloch
tt0130018,nm0134176,Danny Cannon
tt0130121,nm0538614,Kelly Makin
tt0130121,nm0331956,Carl Gottlieb
tt0130827,nm0878756,Tom Tykwer
tt0132278,nm0830135,Magnus Stifter
tt0132451,nm0213983,David DeCoteau
tt0133046,nm0932078,Kevin Williamson
tt0133093,nm0905154,Lana Wachowski
tt0133093,nm0905152,Lilly Wachowski
tt0133751,nm0001675,Robert Rodriguez
tt0134084,nm0000127,Wes Craven
tt0135659,nm0062644,Craig R. Baxley
tt0137523,nm0000399,David Fincher
tt0138524,nm0001054,Joel Coen
tt0138524,nm0001053,Ethan Coen
tt0139134,nm0474955,Roger Kumble
tt0139151,nm0000814,John G. Avildsen
tt0139462,nm0001502,Luis Mandoki
tt0139654,nm0298807,Antoine Fuqua
tt0140340,nm0193303,Dan Curtis
tt0143746,nm0241090,John Duigan
tt0144084,nm0366004,Mary Harron
tt0144117,nm0240627,Troy Duffy
tt0144120,nm0950553,Ronny Yu
tt0144528,nm0781842,Peter Segal
tt0145487,nm0000600,Sam Raimi
tt0145531,nm0906548,Rupert Wainwright
tt0145681,nm0637518,Phillip Noyce
tt0145893,nm0850516,Mark Tarlov
tt0146316,nm0922346,Simon West
tt0146336,nm0087595,Jamie Blanks
tt0146675,nm0001382,Peter Hyams
tt0146882,nm0001241,Stephen Frears
tt0147004,nm0379179,Mark Herman
tt0147800,nm0432627,Gil Junger
tt0149261,nm0001317,Renny Harlin
tt0150377,nm0000915,Bruce Beresford
tt0151073,nm0453579,Kim Ki-young
tt0151738,nm0331532,Raja Gosnell
tt0151804,nm0431918,Mike Judge
tt0155776,nm0825434,Darren Stein
tt0156757,nm0287161,John Forte
tt0158973,nm0412257,Julia Crawford Ivers
tt0158983,nm0005295,Trey Parker
tt0159097,nm0001068,Sofia Coppola
tt0160127,nm0629334,McG
tt0160184,nm0318947,Jim Gillespie
tt0160862,nm0410769,Robert Iscove
tt0161081,nm0000709,Robert Zemeckis
tt0162212,nm0066439,Greg Beeman
tt0162222,nm0000709,Robert Zemeckis
tt0162650,nm0005436,John Singleton
tt0162661,nm0000318,Tim Burton
tt0163187,nm0005190,Garry Marshall
tt0163651,nm0919369,Paul Weitz
tt0164114,nm0776271,John Schultz
tt0164181,nm0462895,David Koepp
tt0164221,nm0403541,Nick Hurran
tt0165456,nm0847749,Tibor Takács
tt0165710,nm0726472,Adam Rifkin
tt0166252,nm0151066,Peter Ho-Sun Chan
tt0166302,nm0904706,Otakar Vávra
tt0166485,nm0855035,Andy Tennant
tt0166924,nm0000186,David Lynch
tt0167242,nm0294758,Martin Fric
tt0168629,nm0001885,Lars von Trier
tt0169547,nm0005222,Sam Mendes
tt0170016,nm0000165,Ron Howard
tt0171363,nm0000957,Jan de Bont
tt0174336,nm0169680,Peter M. Cohen
tt0175142,nm0005540,Keenen Ivory Wayans
tt0175526,nm0942408,Geoffrey Wright
tt0175777,nm0742819,Rick Rosenthal
tt0175880,nm0000759,Paul Thomas Anderson
tt0176269,nm0734747,Mic Rodgers
tt0176783,nm0346550,Davis Guggenheim
tt0177625,nm0804556,Kari Skogland
tt0178737,nm0005390,Patricia Rozema
tt0181852,nm0609236,Jonathan Mostow
tt0181875,nm0001081,Cameron Crowe
tt0182789,nm0001060,Chris Columbus
tt0183505,nm0125803,Bobby Farrelly
tt0183505,nm0268380,Peter Farrelly
tt0183649,nm0001708,Joel Schumacher
tt0183790,nm0001338,Brian Helgeland
tt0184791,nm0625789,Tim Blake Nelson
tt0185431,nm0109359,Steven Brill
tt0186975,nm0410640,Kris Isacsson
tt0187696,nm0752328,Stefan Ruzowitzky
tt0189456,nm0719320,Kimble Rendall
tt0189791,nm0023207,José Alvarenga Jr.
tt0190096,nm0296501,Harvey Frost
tt0192071,nm0641373,Tommy O'Haver
tt0192111,nm0914132,Mark Waters
tt0192731,nm0653211,John Ottman
tt0195714,nm0939128,James Wong
tt0196229,nm0001774,Ben Stiller
tt0198021,nm0931285,Matt Williams
tt0199314,nm0826437,Gerard Stembridge
tt0200027,nm0001508,Penny Marshall
tt0200192,nm0000972,Tinto Brass
tt0200550,nm0573589,David McNally
tt0202470,nm0378893,Stephen Herek
tt0203009,nm0525303,Baz Luhrmann
tt0203166,nm0600546,Lukas Moodysson
tt0203632,nm0878756,Tom Tykwer
tt0204175,nm0410769,Robert Iscove
tt0204946,nm0715636,Peyton Reed
tt0205000,nm0593610,Mike Mitchell
tt0206420,nm0868643,Fina Torres
tt0206926,nm0255780,Ben Elton
tt0206926,nm0491402,Hugh Laurie
tt0207201,nm0583600,Nancy Meyers
tt0208003,nm0331532,Raja Gosnell
tt0208092,nm0005363,Guy Ritchie
tt0208196,nm0026442,Brad Anderson
tt0208988,nm0443181,Stephen Kay
tt0209144,nm0634240,Christopher Nolan
tt0209163,nm0814085,Stephen Sommers
tt0209297,nm0462350,Kenneth R. Koch
tt0209475,nm0788202,Adam Shankman
tt0210070,nm0269502,John Fawcett
tt0211443,nm0410494,James Isaac
tt0211878,nm0792135,Beatriz Sheridan
tt0211878,nm0243455,Karina Duprez
tt0211878,nm0756428,Eduardo Said
tt0211915,nm0000466,Jean-Pierre Jeunet
tt0212338,nm0005366,Jay Roach
tt0212346,nm0677953,Donald Petrie
tt0212985,nm0000631,Ridley Scott
tt0213847,nm0868153,Giuseppe Tornatore
tt0214388,nm0205157,Michael Davis
tt0215129,nm0680846,Todd Phillips
tt0215369,nm0955434,Yang Zhang
tt0216216,nm0006854,Roger Spottiswoode
tt0217869,nm0796117,M. Night Shyamalan
tt0218619,nm0139461,Stephen Carpenter
tt0218864,nm0065608,Walt Becker
tt0218967,nm0711840,Brett Ratner
tt0219699,nm0000600,Sam Raimi
tt0221218,nm0755261,Daniel Sackheim
tt0222851,nm0001429,Takeshi Kitano
tt0225071,nm0001502,Luis Mandoki
tt0229440,nm0220600,Scott Derrickson
tt0230600,nm0024622,Alejandro Amenábar
tt0230838,nm0640466,Pat O'Connor
tt0233469,nm0001112,Andrew Davis
tt0234137,nm0106928,Valerie Breiman
tt0234215,nm0905154,Lana Wachowski
tt0234215,nm0905152,Lilly Wachowski
tt0234829,nm0866132,Michael Tollin
tt0236348,nm0253323,Harry Elfont
tt0236348,nm0438226,Deborah Kaplan
tt0236640,nm0804408,Erik Skjoldbjærg
tt0238137,nm0523239,Jay Lowi
tt0238552,nm0482681,Ringo Lam
tt0240462,nm0139867,Steve Carr
tt0240510,nm0001408,Shekhar Kapur
tt0240772,nm0001752,Steven Soderbergh
tt0240890,nm0155093,Peter Chelsom
tt0241303,nm0002120,Lasse Hallström
tt0241760,nm0214036,Ed Decter
tt0242423,nm0500444,Danny Leiner
tt0242527,nm0358327,Nick Hamm
tt0242653,nm0905154,Lana Wachowski
tt0242653,nm0905152,Lilly Wachowski
tt0242888,nm0420746,Guy Jenkin
tt0242998,nm0087595,Jamie Blanks
tt0243155,nm0536632,Sharon Maguire
tt0243736,nm0499724,Michael Lehmann
tt0243862,nm0771054,Lone Scherfig
tt0244970,nm0001282,Tony Goldwyn
tt0245674,nm0065284,Steve Beck
tt0245844,nm0721817,Kevin Reynolds
tt0246332,nm0316592,Rodney Gibbons
tt0246405,nm0246159,Nana Dzhordzhadze
tt0246578,nm0446819,Richard Kelly
tt0246772,nm0626686,Sandra Nettelbeck
tt0247638,nm0005190,Garry Marshall
tt0248654,nm0050332,Alan Ball
tt0248654,nm0003733,Daniel Attias
tt0248654,nm0006554,Rodrigo García
tt0248654,nm0687964,Jeremy Podeswa
tt0248654,nm0000870,Kathy Bates
tt0248654,nm0191147,Michael Cuesta
tt0248654,nm0257554,Michael Engler
tt0248654,nm0693561,Alan Poul
tt0248654,nm0590889,Daniel Minahan
tt0248654,nm0037708,Miguel Arteta
tt0248654,nm0392237,Nicole Holofcener
tt0248654,nm0158966,Lisa Cholodenko
tt0248654,nm0002339,Allen Coulter
tt0248654,nm0564319,Jim McBride
tt0248654,nm0666274,John Patterson
tt0248654,nm0851930,Alan Taylor
tt0248654,nm0873266,Rose Troche
tt0248654,nm0597673,Karen Moncrieff
tt0248654,nm0136775,Peter Care
tt0248654,nm0143780,Alan Caso
tt0248654,nm0916424,Peter Webber
tt0248654,nm0203215,Adam Davidson
tt0248654,nm0366004,Mary Harron
tt0248654,nm0551358,Joshua Marston
tt0248654,nm0787687,Matt Shakman
tt0249478,nm0000887,Harold Becker
tt0250247,nm0695654,Premysl Prazský
tt0250292,nm0348640,Andrew Gurland
tt0250431,nm0467396,Henry Koster
tt0250797,nm0001490,Adrian Lyne
tt0251075,nm0718645,Ivan Reitman
tt0251127,nm0677953,Donald Petrie
tt0251160,nm0001024,Nick Cassavetes
tt0252076,nm0911061,Wayne Wang
tt0252866,nm0736930,J.B. Rogers
tt0253867,nm0474955,Roger Kumble
tt0256380,nm0125803,Bobby Farrelly
tt0256380,nm0268380,Peter Farrelly
tt0256415,nm0855035,Andy Tennant
tt0257076,nm0424800,Clark Johnson
tt0257106,nm0005540,Keenen Ivory Wayans
tt0258000,nm0000399,David Fincher
tt0258153,nm0629272,Andrew Niccol
tt0258967,nm0572951,Tom McLoughlin
tt0259153,nm0062644,Craig R. Baxley
tt0259446,nm0959034,Joel Zwick
tt0261392,nm0003620,Kevin Smith
tt0261983,nm0026442,Brad Anderson
tt0262934,nm0532561,Gustav Machatý
tt0263488,nm0759207,Victor Salva
tt0263757,nm0945026,Boaz Yakin
tt0264689,nm0752783,Paul F. Ryan
tt0264935,nm0775447,Barbet Schroeder
tt0265010,nm0205157,Michael Davis
tt0265029,nm0005387,Joe Roth
tt0265208,nm0339004,Luke Greenfield
tt0265298,nm0506613,Shawn Levy
tt0265930,nm0610831,Gabriele Muccino
tt0266697,nm0000233,Quentin Tarantino
tt0266747,nm0000907,Richard Benjamin
tt0270980,nm0001878,David Zucker
tt0272338,nm0000759,Paul Thomas Anderson
tt0273689,nm0899121,Thomas Vinterberg
tt0273923,nm0440458,Jake Kasdan
tt0274546,nm0098400,Rick Bota
tt0274558,nm0197636,Stephen Daldry
tt0276919,nm0001885,Lars von Trier
tt0277371,nm0302778,Joel Gallen
tt0278435,nm0000776,Michael Apted
tt0279778,nm0451884,Callie Khouri
tt0280720,nm0902939,Daisy von Scherler Mayer
tt0281358,nm0788202,Adam Shankman
tt0282209,nm0509448,Jonathan Liebesman
tt0282593,nm1073965,Jon Sherman
tt0283026,nm0689852,John Polson
tt0283084,nm0751221,Jay Russell
tt0283111,nm0065608,Walt Becker
tt0283139,nm0467225,Peter Kosminsky
tt0283530,nm0001355,Michael Hoffman
tt0283900,nm0458251,Cédric Klapisch
tt0285531,nm0001410,Lawrence Kasdan
tt0285742,nm0286975,Marc Forster
tt0285879,nm0006959,Dan Ireland
tt0286751,nm0475905,Kiyoshi Kurosawa
tt0286788,nm0330140,Dennie Gordon
tt0288477,nm0065284,Steve Beck
tt0289043,nm0000965,Danny Boyle
tt0289765,nm0711840,Brett Ratner
tt0289879,nm0107774,Eric Bress
tt0289879,nm0344259,J. Mackye Gruber
tt0292506,nm0002044,Roger Donaldson
tt0292644,nm0000812,Roger Avary
tt0293116,nm0860019,Danièle Thompson
tt0293508,nm0001708,Joel Schumacher
tt0295289,nm0462277,Chris Koch
tt0295700,nm0003343,Rob Schmidt
tt0297037,nm0266622,Rick Famuyiwa
tt0298130,nm0893659,Gore Verbinski
tt0298296,nm0592824,Bob Misiorowski
tt0301357,nm0065615,Wolfgang Becker
tt0301470,nm0759207,Victor Salva
tt0302297,nm0262693,David Mickey Evans
tt0302640,nm0103744,Tom Brady
tt0303361,nm1031246,Lucky McKee
tt0304415,nm0001565,Mike Newell
tt0304711,nm0001338,Brian Helgeland
tt0305224,nm0781842,Peter Segal
tt0305669,nm0788202,Adam Shankman
tt0305711,nm0506613,Shawn Levy
tt0306047,nm0001878,David Zucker
tt0308152,nm1125131,Jean-Baptiste Andrea
tt0308152,nm1125458,Fabrice Canepa
tt0308506,nm0776271,John Schultz
tt0309530,nm0715636,Peyton Reed
tt0309593,nm0254786,David R. Ellis
tt0309698,nm0003506,James Mangold
tt0310357,nm0604688,Glen Morgan
tt0310775,nm0661791,Park Chan-wook
tt0313196,nm0140196,Carlos Carrera
tt0313443,nm0002083,Carl Franklin
tt0313542,nm0001219,Gary Fleder
tt0313737,nm0492909,Marc Lawrence
tt0314331,nm0193485,Richard Curtis
tt0314412,nm0170043,Isabel Coixet
tt0314431,nm0379179,Mark Herman
tt0314498,nm0005367,Brian Robbins
tt0314786,nm0281598,Andrew Fleming
tt0315327,nm0001723,Tom Shadyac
tt0315983,nm1166926,Vadim Perelman
tt0317248,nm0576987,Fernando Meirelles
tt0317248,nm0526199,Kátia Lund
tt0317303,nm0139867,Steve Carr
tt0317740,nm0336620,F. Gary Gray
tt0318283,nm0001661,Rob Reiner
tt0319970,nm0141222,David Carson
tt0322330,nm0914132,Mark Waters
tt0323033,nm0398185,Peter Howitt
tt0323571,nm1168394,Jesse Warn
tt0325703,nm0000957,Jan de Bont
tt0325733,nm0902022,Achim von Borries
tt0327162,nm0000568,Frank Oz
tt0327679,nm0641373,Tommy O'Haver
tt0328107,nm0001716,Tony Scott
tt0328538,nm0362566,Catherine Hardwicke
tt0328589,nm0920108,Audrey Wells
tt0329101,nm0950553,Ronny Yu
tt0329913,nm0782384,Susan Seidelman
tt0330243,nm0467666,Marek Koterski
tt0330793,nm0378144,Jonathan Hensleigh
tt0332280,nm0001024,Nick Cassavetes
tt0332375,nm0200380,Brian Dannelly
tt0332379,nm0000500,Richard Linklater
tt0333766,nm0103785,Zach Braff
tt0335119,nm0916424,Peter Webber
tt0335266,nm0001068,Sofia Coppola
tt0337563,nm0935095,Gary Winick
tt0337636,nm0098400,Rick Bota
tt0337697,nm0004838,Martha Coolidge
tt0337741,nm0583600,Nancy Meyers
tt0337876,nm0322242,Jonathan Glazer
tt0337921,nm0254786,David R. Ellis
tt0338013,nm0327273,Michel Gondry
tt0338133,nm1269479,Mark Milgard
tt0338309,nm0405632,Mikael Håfström
tt0339135,nm0482681,Ringo Lam
tt0340331,nm0213100,William Dear
tt0343135,nm0357453,John Hamburg
tt0343660,nm0781842,Peter Segal
tt0344011,nm0036272,Morten Arnfred
tt0345591,nm0484901,Michael Landon Jr.
tt0346491,nm0000231,Oliver Stone
tt0348836,nm0440913,Mathieu Kassovitz
tt0349205,nm0506613,Shawn Levy
tt0349903,nm0001752,Steven Soderbergh
tt0350028,nm0005190,Garry Marshall
tt0351283,nm0201509,Eric Darnell
tt0351283,nm0569891,Tom McGrath
tt0353489,nm0837977,Brett Sullivan
tt0354502,nm1315826,James Shanks
tt0354623,nm0098400,Rick Bota
tt0355954,nm0308376,Mick Garris
tt0355987,nm0004121,Mikael Salomon
tt0356150,nm0769840,Jeff Schaffer
tt0356150,nm0073688,Alec Berg
tt0356150,nm0541635,David Mandel
tt0356470,nm0743093,Mark Rosman
tt0356618,nm0747849,Joseph Ruben
tt0356680,nm0080120,Thomas Bezucha
tt0357110,nm0589182,Rebecca Miller
tt0358135,nm0155093,Peter Chelsom
tt0360139,nm0128225,Andy Cadiff
tt0360201,nm0518644,Richard Loncraine
tt0360486,nm1349376,Francis Lawrence
tt0361217,nm0732218,Michael M. Robin
tt0361217,nm0444709,Elodie Keene
tt0361217,nm0614682,Ryan Murphy
tt0361217,nm0354024,Charles Haid
tt0361217,nm0957197,Craig Zisk
tt0361217,nm0779350,John Scott
